Trailer_id,Title,ReleaseYear,Studio,OpeningTheaters,ViewCount,LikeCount,DislikeCount,LikeDislikeRatio,CommentCount,positiveWordsBL,negativeWordsBL,netSentimentBL,scoreAbsoluteAFINN,budget,OpeningWeekendGross,genre,mpaaRating,TotalGross
9rqIJcY9hMc,The Purge: Election Year,2016,Uni.,"2,796",9123950,31236,2874,10.87,12184,5360,6380,-1020,-4785,10000000,"$31,515,110 ",Thriller,R,"$79,213,375 "
XAHprLW48no,Pixels,2015,Sony,"3,723",21399459,90441,13586,6.66,15528,7704,8019,-315,5904,88000000,"$24,011,616 ",Comedy,PG-13,"$78,747,585 "
CreneTs7sGs,The Monuments Men,2014,Sony,"3,083",4042399,6032,520,11.6,1440,1111,1214,-103,-26,70000000,"$22,003,433 ",Drama,PG-13,"$78,031,620 "
_9nmIzCAMJQ,Parental Guidance,2012,Fox,"3,367",1743818,2019,279,7.24,532,379,275,104,564,25000000,"$14,554,053 ",Comedy,PG,"$77,267,296 "
x3IWwnNe5mc,Alice Through the Looking Glass,2016,BV,"3,763",9931691,53722,2016,26.64781746,5221,2349,1910,439,2716,170000000,"$26,858,726 ",Other,PG,"$77,041,381 "
X-d-V9jXYDE,Paddington,2015,W/Dim.,"3,303",4481375,7911,943,8.39,1136,556,462,94,701,55000000,"$18,966,676 ",Other,PG,"$76,271,832 "
fPOamb6d_20,Pete's Dragon (2016),2016,BV,"3,702",10220849,29297,2452,11.95,4822,2674,1956,718,1936,65000000,"$21,514,095 ",Other,PG,"$76,233,151 "
ZU3Xban0Y6A,The Intern,2015,WB,"3,305",8452222,21348,1172,18.22,1370,1458,679,779,2204,35000000,"$17,728,313 ",Comedy,PG-13,"$75,764,672 "
gdruuQjH9Po,2 Guns,2013,Uni.,"3,025",2406882,1187,63,18.84126984,171,82,61,21,90,61000000,"$27,059,130 ",Comedy,R,"$75,612,460 "
F4Afusxc2SM,The Hitman's Bodyguard,2017,LG/S,"3,377",11504194,81324,1844,44.1,4365,1935,2045,-110,1290,30000000,"$21,384,504 ",Comedy,R,"$75,468,583 "
KkoEE1i0CX8,The Girl on the Train (2016),2016,Uni.,"3,144",8873307,24706,1183,20.88,3133,1858,1655,203,2303,45000000,"$24,536,265 ",Thriller,R,"$75,395,035 "
